금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
용산고등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,서울특별시 용산구 두텁바위로 60,서울특별시 용산구 용산동2가 1,서울특별시용산보건소,37.54480263,126.981731,2026-01-31
보성여자중학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,서울특별시 용산구 신흥로3가길 66,서울특별시 용산구 용산동2가 1-1123,서울특별시용산보건소,37.54308154,126.9842842,2026-01-31
보성여자고등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,서울특별시 용산구 신흥로3가길 66,서울특별시 용산구 용산동2가 1-1123,서울특별시용산보건소,37.543058,126.984258,2026-01-31
배문중학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,서울특별시 용산구 효창원로 258,서울특별시 용산구 서계동 259-3,서울특별시용산보건소,37.54991872,126.9639041,2026-01-31
배문고등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,서울특별시 용산구 효창원로 258,서울특별시 용산구 서계동 259-3,서울특별시용산보건소,37.54991872,126.9639041,2026-01-31
선린중학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,서울특별시 용산구 원효로97길 33-4,서울특별시 용산구 청파동3가 131-2,서울특별시용산보건소,37.54296872,126.9649361,2026-01-31
선린인터넷고등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,서울특별시 용산구 원효로97길 33-4,서울특별시 용산구 청파동3가 131-2,서울특별시용산보건소,37.54296872,126.9649361,2026-01-31
성심여자중학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,서울특별시 용산구 원효로19길 49,서울특별시 용산구 원효로4가 1-1,서울특별시용산보건소,37.53420937,126.9545934,2026-01-31
성심여자고등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,서울특별시 용산구 원효로19길 49,서울특별시 용산구 원효로4가 1-1,서울특별시용산보건소,37.534292,126.9545934,2026-01-31
오산중학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,서울특별시 용산구 보광로7길 17,서울특별시 용산구 보광동 168-4,서울특별시용산보건소,37.52358051,127.0008872,2026-01-31
오산고등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,서울특별시 용산구 보광로7길 17,서울특별시 용산구 보광동 168-4,서울특별시용산보건소,37.52358051,127.0008872,2026-01-31
서울맹학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,서울특별시 용산구 한강대로57길 5,서울특별시 용산구 한강로2가 1,서울특별시용산보건소,37.53561344,126.9725506,2026-01-31
서울자동차고등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,서울특별시 용산구 백범로45길 15,서울특별시 용산구 효창동 5-198,서울특별시용산보건소,37.54149798,126.9584137,2026-01-31
효창공원(근린공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,서울특별시 용산구 효창원로 177-18,서울특별시 용산구 효창동 255,서울특별시용산보건소,37.54495741,126.9622909,2026-01-31
새나라(어린이공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,,서울특별시 용산구 후암동 190-1,서울특별시용산보건소,37.54791488,126.976552,2026-01-31
삼각지(어린이공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,803.0,100000,02-2199-8363,,서울특별시 용산구 용산동3가 1-96,서울특별시용산보건소,37.534406,126.9754551,2026-01-31
한마음(어린이공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,,서울특별시 용산구 용산동5가 2-4,서울특별시용산보건소,37.528437,126.9700205,2026-01-31
늘푸른(어린이공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,서울특별시 용산구 원효로41가길 14-19,서울특별시 용산구 원효로3가 1-139,서울특별시용산보건소,37.53479369,126.9565572,2026-01-31
청파(어린이공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,,서울특별시 용산구 서계동 226-3,서울특별시용산보건소,37.553547,126.9682992,2026-01-31
꿈나무(소공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,서울특별시 용산구 이촌로 219,서울특별시 용산구 이촌1동 301-86,서울특별시용산보건소,37.520776,126.971702,2026-01-31
새싹(어린이공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,480.0,100000,02-2199-8363,,서울특별시 용산구 이촌2동 206-1,서울특별시용산보건소,37.526912,126.954469,2026-01-31
동자(어린이공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,712.0,100000,02-2199-8363,,서울특별시 용산구 동자동 24-11,서울특별시용산보건소,37.550084,126.9739452,2026-01-31
소월길(어린이공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,,서울특별시 용산구 이태원2동 463,서울특별시용산보건소,37.543548,126.989227,2026-01-31
이촌(소공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,,서울특별시 용산구 이촌동 301-60,서울특별시용산보건소,37.518755,126.979774,2026-01-31
새푸리(소공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,231.5,100000,02-2199-8363,,서울특별시 용산구 이촌동 399,서울특별시용산보건소,37.521589,126.967826,2026-01-31
효창(어린이공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,525.3,100000,02-2199-8363,,서울특별시 용산구 효창동 5-712,서울특별시용산보건소,37.54279367,126.9585555,2026-01-31
강변(소공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,,서울특별시 용산구 이촌동 408,서울특별시용산보건소,37.521325,126.975018,2026-01-31
이태원(어린이공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,,서울특별시 용산구 이태원동 286-1,서울특별시용산보건소,37.53840553,126.989012,2026-01-31
도원(어린이공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,,서울특별시 용산구 도원동 15-57,서울특별시용산보건소,37.537199,126.955071,2026-01-31
비상(소공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,889.0,100000,02-2199-8363,,서울특별시 용산구 이촌동 417,서울특별시용산보건소,37.522317,126.971379,2026-01-31
청탑(소공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,546.8,100000,02-2199-8363,,서울특별시 용산구 이촌동 425,서울특별시용산보건소,37.51783937,126.977273,2026-01-31
새꿈(어린이공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,,서울특별시 용산구 동자동 8,서울특별시용산보건소,37.55254767,126.974457,2026-01-31
사촌(소공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,,서울특별시 용산구 이촌동 429,서울특별시용산보건소,37.520618,126.970908,2026-01-31
강변복지(소공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,377.5,100000,02-2199-8363,,서울특별시 용산구 이촌동 421,서울특별시용산보건소,37.521102,126.965884,2026-01-31
돌모루(어린이공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,,서울특별시 용산구 청파동3가 118-102,서울특별시용산보건소,37.542716,126.968524,2026-01-31
문배(어린이공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,842.5,100000,02-2199-8363,,서울특별시 용산구 문배동 24-1,서울특별시용산보건소,37.53661975,126.9698073,2026-01-31
솔밭(어린이공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,,서울특별시 용산구 한강로1가 30-3,서울특별시용산보건소,37.537225,126.973641,2026-01-31
신창동(어린이공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,257.6,100000,02-2199-8363,,서울특별시 용산구 신창동 100,서울특별시용산보건소,37.536643,126.9541101,2026-01-31
서계가로(어린이공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,183.2,100000,02-2199-8363,,서울특별시 용산구 서계동 276-7,서울특별시용산보건소,37.55127635,126.964238,2026-01-31
응봉(근린공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,,서울특별시 용산구 한남동 산 8-1,서울특별시용산보건소,37.544968,127.0047763,2026-01-31
기와터(근린공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,,서울특별시 용산구 한강로3가 63-388,서울특별시용산보건소,37.52581297,126.969648,2026-01-31
서빙고(근린공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,,서울특별시 용산구 용산동5가 24-2,서울특별시용산보건소,37.52478697,126.9712832,2026-01-31
신계(역사공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,,서울특별시 용산구 신계동 55,서울특별시용산보건소,37.53508032,126.9662814,2026-01-31
이태원마을숲(소공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,867.0,100000,02-2199-8363,,서울특별시 용산구 이태원2동 260-93,서울특별시용산보건소,37.541744,126.991487,2026-01-31
독서당(소공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,469.0,100000,02-2199-8363,,서울특별시 용산구 한남동 1-32,서울특별시용산보건소,37.5345083,127.012449,2026-01-31
한남(소공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,432.0,100000,02-2199-8363,,서울특별시 용산구 한남동 15-5,서울특별시용산보건소,37.537214,127.013853,2026-01-31
이태원어린이놀이터(소공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,278.0,100000,02-2199-8363,,서울특별시 용산구 이태원동 190-11,서울특별시용산보건소,37.535647,126.989923,2026-01-31
별님(소공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,1137.4,100000,02-2199-8363,서울특별시 용산구 백범로90길 84-19,,서울특별시용산보건소,37.538104,126.969203,2026-01-31
한강대로(소공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,466.3,100000,02-2199-8363,,서울특별시 용산구 한강로3가 65-587,서울특별시용산보건소,37.52410583,126.9635746,2026-01-31
이태원부군당(역사공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,2020.0,100000,02-2199-8363,서울특별시 용산구 녹사평대로40다길 37,서울특별시 용산구 이태원동 192,서울특별시용산보건소,37.53587802,126.989729,2026-01-31
동빙고(근린공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,55740.0,100000,02-2199-8363,서울특별시 용산구 이촌로 344-15,,서울특별시용산보건소,37.517378,126.983958,2026-01-31
두텁바위(어린이공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,2623.1,100000,02-2199-8363,서울특별시 용산구 후암로57길 26-7,서울특별시 용산구 동자동 17-30,서울특별시용산보건소,37.552149,126.973744,2026-01-31
후암(어린이공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,182.0,100000,02-2199-8363,서울특별시 용산구 신흥로20길 35-4,서울특별시 용산구 후암동 406-79,서울특별시용산보건소,37.547128,126.9839081,2026-01-31
해님(소공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,1255.7,100000,02-2199-8363,서울특별시 용산구 원효로90길 34,,서울특별시용산보건소,37.539022,126.9703774,2026-01-31
달님(소공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,1195.7,100000,02-2199-8363,서울특별시 용산구 청파로 205-15,,서울특별시용산보건소,37.538368,126.969726,2026-01-31
이촌한우리(소공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,,서울특별시 용산구 이촌동 437,서울특별시용산보건소,37.5172264,126.981145,2026-01-31
신용산(가로공원),공원내,서울특별시,용산구,공원내,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,,서울특별시 용산구 한강로2가 159-5,서울특별시용산보건소,37.529168,126.969098,2026-01-31
용산역,용산역전면광장,서울특별시,용산구,용산역전면광장,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,서울특별시 용산구 한강대로23길 55,서울특별시 용산구 한강로3가 40-999,서울특별시용산보건소,37.5297718,126.9647415,2026-01-31
한남초등학교,한남초 측면 단편보행로 150m,서울특별시,용산구,통학로,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,150.0,100000,02-2199-8363,서울특별시 용산구 한남대로 112,서울특별시 용산구 한남동 726-1,서울특별시용산보건소,37.53920365,127.0055998,2026-01-31
중경고등학교,단편 보행로 200m,서울특별시,용산구,통학로,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,200.0,100000,02-2199-8363,서울특별시 용산구 이촌로84길 34,서울특별시 용산구 이촌동 300-302,서울특별시용산보건소,37.5176669,126.975615,2026-01-31
한강초등학교,정문앞 통학로 100m 및 맞은편 통학로 100m,서울특별시,용산구,통학로,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,200.0,100000,02-2199-8363,서울특별시 용산구 한강대로14길 9,서울특별시 용산구 한강로3가 65-5,서울특별시용산보건소,37.5252055,126.9650994,2026-01-31
용강중학교,정문 및 후문 시설경계 통학로 310m,서울특별시,용산구,통학로,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,310.0,100000,02-2199-8363,서울특별시 용산구 이촌로65가길 91,서울특별시 용산구 이촌동 301-78,서울특별시용산보건소,37.52157693,126.9754853,2026-01-31
남정초등학교,"정문앞 통학로 42m 및 우측 주통학로 98m,후문앞 통학로 85m",서울특별시,용산구,통학로,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,225.0,100000,02-2199-8363,서울특별시 용산구 원효로64길 17-10,서울특별시 용산구 원효로2가 54-1,서울특별시용산보건소,37.53567383,126.9648037,2026-01-31
신용산역 일대,"신용산역 일대 보행로, 용산어린이정원 주출입구 전면 공간, 용산역잔디광장, 용산파크웨이 조성 현장",서울특별시,용산구,실외 금연구역,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,서울특별시 용산구 한강대로 112,서울특별시 용산구 한강로2가 181,서울특별시용산보건소,37.52961556,126.9682159,2026-01-31
게이트웨이타워 일대,"게이트웨이타워 일대 보도, 차도 430m",서울특별시,용산구,실외 금연구역,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,서울특별시 용산구 후암로 107,서울특별시 용산구 동자동 12,서울특별시용산보건소,37.553464,126.973588,2026-01-31
용산더프라임 일대,용산더프라임 일대 보도 430m,서울특별시,용산구,실외 금연구역,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,서울특별시 용산구 원효로90길 11,서울특별시 용산구 원효로1가 41,서울특별시용산보건소,37.5403958,126.9697185,2026-01-31
서울역,서울역광장일부,서울특별시,용산구,서울역광장일부,서울특별시 용산구 금연구역 지정 및 간접흡연피해방지 조례,,100000,02-2199-8363,서울특별시 용산구 청파로378,서울특별시 용산구 서계동76-1,서울특별시용산보건소,37.552471,126.971063,2026-01-31
